행 레이블,특성,합계 : 2019 응답자수
"1,000~3,000만원 미만",1인,1754.854665
"1,000~3,000만원 미만",2인,2086.792547
"1,000~3,000만원 미만",3인,514.3919035
"1,000~3,000만원 미만",4인,289.546502
"1,000~3,000만원 미만",5인이상,77.04420269
"1,000만원 미만",1인,1344.396856
"1,000만원 미만",2인,242.797616
"1,000만원 미만",3인,38.69616878
"1,000만원 미만",4인,22.710613
"1,000만원 미만",5인이상,6.880254555
"10,000만원 이상",1인,31.30955082
"10,000만원 이상",2인,283.9423713
"10,000만원 이상",3인,778.0123023
"10,000만원 이상",4인,1322.92598
"10,000만원 이상",5인이상,448.2630968
"3,000~5,000만원 미만",1인,572.475075
"3,000~5,000만원 미만",2인,1462.864077
"3,000~5,000만원 미만",3인,1024.986871
"3,000~5,000만원 미만",4인,822.9096579
"3,000~5,000만원 미만",5인이상,251.2127679
"5,000~7,000만원 미만",1인,190.9917307
"5,000~7,000만원 미만",2인,748.4270206
"5,000~7,000만원 미만",3인,904.811489
"5,000~7,000만원 미만",4인,1024.251757
"5,000~7,000만원 미만",5인이상,292.6499339
"7,000~10,000만원 미만",1인,75.15637622
"7,000~10,000만원 미만",2인,428.4038151
"7,000~10,000만원 미만",3인,795.8554716
"7,000~10,000만원 미만",4인,1133.410456
"7,000~10,000만원 미만",5인이상,329.0288724
