행 레이블,특성,합계 : 2019 응답자수
"1,000~3,000만원 미만",30-39세,385.175766
"1,000~3,000만원 미만",30세미만,151.3042553
"1,000~3,000만원 미만",40-49세,653.6811553
"1,000~3,000만원 미만",50-59세,827.6605312
"1,000~3,000만원 미만",60세이상,2704.808112
"1,000만원 미만",30-39세,48.05991504
"1,000만원 미만",30세미만,19.22178784
"1,000만원 미만",40-49세,94.08121145
"1,000만원 미만",50-59세,179.7555496
"1,000만원 미만",60세이상,1314.363044
"10,000만원 이상",30-39세,276.3117974
"10,000만원 이상",30세미만,5.538247544
"10,000만원 이상",40-49세,951.6212227
"10,000만원 이상",50-59세,1182.770706
"10,000만원 이상",60세이상,448.2113278
"3,000~5,000만원 미만",30-39세,677.4309176
"3,000~5,000만원 미만",30세미만,132.9605308
"3,000~5,000만원 미만",40-49세,926.8434298
"3,000~5,000만원 미만",50-59세,947.9878678
"3,000~5,000만원 미만",60세이상,1449.225702
"5,000~7,000만원 미만",30-39세,610.9036793
"5,000~7,000만원 미만",30세미만,49.15805676
"5,000~7,000만원 미만",40-49세,895.1420656
"5,000~7,000만원 미만",50-59세,823.9808898
"5,000~7,000만원 미만",60세이상,781.9472396
"7,000~10,000만원 미만",30-39세,413.5619735
"7,000~10,000만원 미만",30세미만,28.21358143
"7,000~10,000만원 미만",40-49세,840.2094026
"7,000~10,000만원 미만",50-59세,896.7790521
"7,000~10,000만원 미만",60세이상,583.0909817
