행 레이블,특성,합계 : 2019 응답자수
"1,000~3,000만원 미만",기타무직·학생등,1722.923087
"1,000~3,000만원 미만",상용근로자,1004.43468
"1,000~3,000만원 미만",임시·일용근로자,1042.065366
"1,000~3,000만원 미만",자영업자,953.2066869
"1,000만원 미만",기타무직·학생등,1227.283365
"1,000만원 미만",상용근로자,77.44560266
"1,000만원 미만",임시·일용근로자,259.9859486
"1,000만원 미만",자영업자,90.76659123
"10,000만원 이상",기타무직·학생등,152.962451
"10,000만원 이상",상용근로자,1977.18897
"10,000만원 이상",임시·일용근로자,95.09706006
"10,000만원 이상",자영업자,639.2048203
"3,000~5,000만원 미만",기타무직·학생등,642.3298443
"3,000~5,000만원 미만",상용근로자,1788.647418
"3,000~5,000만원 미만",임시·일용근로자,553.2022933
"3,000~5,000만원 미만",자영업자,1150.268893
"5,000~7,000만원 미만",기타무직·학생등,327.5322049
"5,000~7,000만원 미만",상용근로자,1696.765807
"5,000~7,000만원 미만",임시·일용근로자,279.160065
"5,000~7,000만원 미만",자영업자,857.6738545
"7,000~10,000만원 미만",기타무직·학생등,192.3906675
"7,000~10,000만원 미만",상용근로자,1696.078422
"7,000~10,000만원 미만",임시·일용근로자,171.2936194
"7,000~10,000만원 미만",자영업자,702.0922827
