행 레이블,특성,합계 : 2019 응답자수
"1,000~3,000만원 미만",미혼,637.9556792
"1,000~3,000만원 미만",배우자있음,2215.580621
"1,000~3,000만원 미만",사별,950.3617292
"1,000~3,000만원 미만",이혼,918.7317911
"1,000만원 미만",미혼,181.143208
"1,000만원 미만",배우자있음,257.7306752
"1,000만원 미만",사별,929.1155531
"1,000만원 미만",이혼,287.4920715
"10,000만원 이상",미혼,48.94180522
"10,000만원 이상",배우자있음,2743.384125
"10,000만원 이상",사별,33.5142219
"10,000만원 이상",이혼,38.61314958
"3,000~5,000만원 미만",미혼,507.419588
"3,000~5,000만원 미만",배우자있음,2908.162279
"3,000~5,000만원 미만",사별,263.456172
"3,000~5,000만원 미만",이혼,455.4104094
"5,000~7,000만원 미만",미혼,224.1612607
"5,000~7,000만원 미만",배우자있음,2671.413399
"5,000~7,000만원 미만",사별,97.90051901
"5,000~7,000만원 미만",이혼,167.6567526
"7,000~10,000만원 미만",미혼,102.6901892
"7,000~10,000만원 미만",배우자있음,2493.660917
"7,000~10,000만원 미만",사별,76.07168394
"7,000~10,000만원 미만",이혼,89.43220149
