행 레이블,특성,합계 : 2019 응답자수
"1,000~3,000만원 미만",고졸,1766.1063
"1,000~3,000만원 미만",대졸이상,915.2854576
"1,000~3,000만원 미만",중졸,759.3037879
"1,000~3,000만원 미만",초졸이하,1281.934275
"1,000만원 미만",고졸,305.435773
"1,000만원 미만",대졸이상,144.7031567
"1,000만원 미만",중졸,221.8873742
"1,000만원 미만",초졸이하,983.4552039
"10,000만원 이상",고졸,709.0064837
"10,000만원 이상",대졸이상,2015.259587
"10,000만원 이상",중졸,85.25921876
"10,000만원 이상",초졸이하,54.92801213
"3,000~5,000만원 미만",고졸,1704.078997
"3,000~5,000만원 미만",대졸이상,1549.087787
"3,000~5,000만원 미만",중졸,481.7396146
"3,000~5,000만원 미만",초졸이하,399.5420488
"5,000~7,000만원 미만",고졸,1226.049459
"5,000~7,000만원 미만",대졸이상,1525.717587
"5,000~7,000만원 미만",중졸,237.8178159
"5,000~7,000만원 미만",초졸이하,171.5470686
"7,000~10,000만원 미만",고졸,978.8828095
"7,000~10,000만원 미만",대졸이상,1531.033181
"7,000~10,000만원 미만",중졸,160.4481878
"7,000~10,000만원 미만",초졸이하,91.49081302
