행 레이블,특성,합계 : 2019 응답자수
"1,000~3,000만원 미만",1분위,1687.301959
"1,000~3,000만원 미만",2분위,1280.721128
"1,000~3,000만원 미만",3분위,861.0602725
"1,000~3,000만원 미만",4분위,565.7889264
"1,000~3,000만원 미만",5분위,327.7575341
"1,000만원 미만",1분위,940.6433345
"1,000만원 미만",2분위,421.6631453
"1,000만원 미만",3분위,173.0608332
"1,000만원 미만",4분위,76.32811701
"1,000만원 미만",5분위,43.78607784
"10,000만원 이상",1분위,42.75477905
"10,000만원 이상",2분위,114.0040609
"10,000만원 이상",3분위,295.5776989
"10,000만원 이상",4분위,753.995575
"10,000만원 이상",5분위,1658.121188
"3,000~5,000만원 미만",1분위,808.9634744
"3,000~5,000만원 미만",2분위,1055.957414
"3,000~5,000만원 미만",3분위,980.7699765
"3,000~5,000만원 미만",4분위,780.0206106
"3,000~5,000만원 미만",5분위,508.7369728
"5,000~7,000만원 미만",1분위,266.2455202
"5,000~7,000만원 미만",2분위,649.3401882
"5,000~7,000만원 미만",3분위,873.6495611
"5,000~7,000만원 미만",4분위,818.4877896
"5,000~7,000만원 미만",5분위,553.408872
"7,000~10,000만원 미만",1분위,113.556945
"7,000~10,000만원 미만",2분위,338.7245042
"7,000~10,000만원 미만",3분위,675.5341783
"7,000~10,000만원 미만",4분위,865.6381722
"7,000~10,000만원 미만",5분위,768.4011915
